Relation vs Table	Relations are tables that connect other tables.
Insert data into person	INSERT INTO person VALUES (...)<div>or</div><div>INSERT INTO person(headers...)</div><div>VALUES (...)</div>
Select everything from person where last_name isn't 'Lestrange'	SELECT * FROM person WHERE last_name &lt;&gt; 'Lestrange';<div>remember semicolon</div><div>In some cases != works</div>
Select first_name from person if their age is greater than 30	SELECT first_name FROM person WHERE age &gt; 30
Add a line to a query that sorts by ascending/descending order	ORDER BY last_name [DESC]
Operator used in WHERE clause that looks between an inclusive range	BETWEEN
Operator in a WHERE clause that searches for a pattern	LIKE
Operator in a WHERE clause that specifies multiple possible values for a column	IN
Select from employees when first name starts with A	SELECT * FROM employees<div>WHERE first_name LIKE 'A%'</div>
WHERE composer_name is blank.	WHERE composer_name IS NULL
Return the count of rows in invoices	SELECT COUNT(*) FROM invoices
Find the # of customers grouped by country	SELECT country, COUNT(*) FROM customers GROUP BY country
Left outer join vs full outer join	Left outer join is all rows from table to the left of the LEFT OUTER JOIN keyword plus any matching rows in other table, with NULL corresponding to rows unique to left table.<div><br></div><div>Full outer join returns a table with all rows from both tables.</div>
Inner join vs outer join	Inner join contains only the intersection (no rows have NULL)<div>Outer join contains all rows from both tables (any rows exclusive to one table will have NULL value in other table's column)</div>
Return an aggregate count vs return a table with a count field corresponding to other fields	Aggregate count:<div>SELECT COUNT(*) FROM...</div><div><br></div><div>Count field in results table:</div><div>SELECT ____, COUNT(*) FROM...</div><div>GROUP BY ....</div>
Fix this count clause:<div>GROUP BY customers.first_name</div>	GROUP BY customers.id
Basic format of UPDATE command?	UPDATE/SET/WHERE<div>As in:&nbsp;</div><div><div>UPDATE users</div><div>&nbsp; &nbsp;...&gt; SET nickname = 'Ninja Coder', last_name &nbsp;= 'Farmer'</div><div>&nbsp; &nbsp;...&gt; WHERE id = 1;</div></div>
How do you insert a column into an existing database?<div><br></div>	ALTER TABLE ___<div>ADD COLUMN column_name VARCHAR(64)</div>
