Type reference a symbol before it's defined (like in a class definition)?;;Wrap the symbol in a string, it'll be eval'd later.<br>"Forward reference";

Display the differences between an environment and Django's default settings;;;manage.py diffsettings

Roll back a migration?;;;server/manage.py migrate seminar 0073

What are Django's five log levels?;;DEBUG, INFO, WARN(ING), ERROR, CRITICAL;

What are the four parts of Django's logging system?;;Loggers, Handlers, Filters, Formatters;

How do you create a timezone-aware datetime?;;;from django.utils import timezone<br>timezone.now()

Inspect Python's import search path?;;;import sys<br/>sys.path

Step one line in ipdb;;;s(tep)

IPython: list all variables + info;;;%whos

IPython: display environment vars;;;%env

What is the difference between a Python module and a package?;;Module: python file with functions (file) <br/>Package: directory with __init__.py, contians packages & modules (dir);

Read all of the functions implemented by module `url`?;;;dir(url)

How many layers of nesting does a decorator that takes arguments require?;;3;def outer_layer(takes_arguments):<br>....def second_layer(old_function):<br>........def inner_layer(*args, **kwds):<br>............new_function_work<br>........return inner_layer<br>....return second_layer

/ vs //?;;Float division (py3 only) vs integer floor division.;

np: Create a new array of 2*2 integers?;;;np.zeros([2,2], int)

np: Create a 3x3 matrix with ones on the diagonal and zeros elsewhere.;;;np.identity(3)

np: Create a new array of 2*5 uints, filled with 6.;;;np.full((2, 5), 6, dtype=np.uint)

np: What are the 4 _like methods, and what do they do?;;Copy shape and datatype. zeros, ones, full, empty;

np: create a 3x5 matrix of random data;;;np.random.random((3, 5))

np: Create an array of 2, 4, 6, 8, ..., 100.;;;np.arange(2, 101, 2)

np: Create a 1-D array of 50 linearly (or logarithmically) spaced elements between 3. and 10., inclusive.;;;np.linspace(3., 10, 50)<br>np.logspace

np: zero out the bottom triangle of an array?;;;np.tril(X, -1)  # -1 chooses the diagonal

np: reshape the second dimension to be 75, let the first dimension be inferred?;;;x.reshape((-1, 150))

np: flatten a 2D array by iterating through in column order?; [[1, 2, 3], [4, 5, 6]] => [1 4 2 5 3 6];Use "Fortran" order. Default is "C", for C-style order (row-major). Fortran used column-major ordering.;np.asarray([np.arange(1, 4), np.arange(4, 7)]).flatten(order='F')

